R-DRE-391251	Protein folding	16	26	1	0	0	0	0	0	1	0	0	13	26	4853	0.93299	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-6814122	Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding	16	26	1	0	0	0	0	0	1	0	0	13	26	4853	0.93299	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-8934903	Receptor Mediated Mitophagy	7	10	1	0	0	0	0	0	1	0	0	13	10	4869	0.97372	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-3065678	SUMO is transferred from E1 to E2 (UBE2I, UBC9)	3	5	1	0	0	0	0	0	1	0	0	13	5	4874	0.98678	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-180024	DARPP-32 events	11	16	1	1	1	0	0	0	1	0	0	13	16	4863	0.95826	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-8866423	VLDL assembly	2	2	1	0	0	1	1	1	1	0	0	13	2	4877	0.99469	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-8963898	Plasma lipoprotein assembly	9	10	1	0	0	1	1	1	1	0	0	13	10	4869	0.97372	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-3928664	Ephrin signaling	5	12	1	1	0	1	1	1	1	0	0	13	12	4867	0.96854	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-399954	Sema3A PAK dependent Axon repulsion	6	10	1	1	0	1	1	1	1	0	0	13	10	4869	0.97372	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5627123	RHO GTPases activate PAKs	9	10	1	1	0	1	1	1	1	0	0	13	10	4869	0.97372	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-163210	Formation of ATP by chemiosmotic coupling	14	14	1	1	1	1	1	0	1	0	0	13	14	4865	0.96338	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-8949613	Cristae formation	14	14	1	1	1	1	1	0	1	0	0	13	14	4865	0.96338	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-264876	Insulin processing	3	6	1	0	0	0	0	0	1	0	0	13	6	4873	0.98415	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5620916	VxPx cargo-targeting to cilium	4	9	1	0	0	0	0	0	1	0	0	13	9	4870	0.97632	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-110312	Translesion synthesis by REV1	7	9	1	1	1	1	1	1	1	1	1	12	8	4871	0.99977	0.023683	0.023683	11.11	30678	pcna	ENSDARG00000054155		10.5824	10.5824	10.5824		10.5824		3.01113	3.01113	3.01113		3.01113		37.1908	37.1908	37.1908		37.1908		0.0	10.5824	0.0	10.5824	10.5824	3.01113	37.1908	1	0	1	30678	ENSDARG00000054155	10.5824	10.5824		3.01113	3.01113		37.1908	37.1908		10.5824	3.01113	37.1908	0															0						Exp 5,1(1)	1.9148547649383545	1.9148547649383545	1.9148547649383545	1.9148547649383545	0.0	1.9148547649383545	10.5824	10.5824	3.01113	3.01113	37.1908	37.1908	UP	1.0	0.0	0.0	
R-DRE-110320	Translesion Synthesis by POLH	9	12	1	1	1	1	1	1	1	1	1	12	11	4868	0.99958	0.031462	0.031462	8.33	30678	pcna	ENSDARG00000054155		10.5824	10.5824	10.5824		10.5824		3.01113	3.01113	3.01113		3.01113		37.1908	37.1908	37.1908		37.1908		0.0	10.5824			10.5824	3.01113	37.1908	1	0	1	30678	ENSDARG00000054155	10.5824	10.5824		3.01113	3.01113		37.1908	37.1908		10.5824	3.01113	37.1908	0															0						Exp 5,1(1)	1.9148547649383545	1.9148547649383545	1.9148547649383545	1.9148547649383545	0.0	1.9148547649383545	10.5824	10.5824	3.01113	3.01113	37.1908	37.1908	UP	1.0	0.0	0.0	
R-DRE-2173788	Downregulation of TGF-beta receptor signaling	7	8	1	1	0	1	1	1	1	0	0	13	8	4871	0.97892	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-2173789	TGF-beta receptor signaling activates SMADs	12	14	1	1	0	1	1	1	1	0	0	13	14	4865	0.96338	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5655862	Translesion synthesis by POLK	7	10	1	1	1	1	1	1	1	1	1	12	9	4870	0.99971	0.026282	0.026282	10.0	30678	pcna	ENSDARG00000054155		10.5824	10.5824	10.5824		10.5824		3.01113	3.01113	3.01113		3.01113		37.1908	37.1908	37.1908		37.1908		0.0	10.5824	0.0	10.5824	10.5824	3.01113	37.1908	1	0	1	30678	ENSDARG00000054155	10.5824	10.5824		3.01113	3.01113		37.1908	37.1908		10.5824	3.01113	37.1908	0															0						Exp 5,1(1)	1.9148547649383545	1.9148547649383545	1.9148547649383545	1.9148547649383545	0.0	1.9148547649383545	10.5824	10.5824	3.01113	3.01113	37.1908	37.1908	UP	1.0	0.0	0.0	
R-DRE-5656121	Translesion synthesis by POLI	7	9	1	1	1	1	1	1	1	1	1	12	8	4871	0.99977	0.023683	0.023683	11.11	30678	pcna	ENSDARG00000054155		10.5824	10.5824	10.5824		10.5824		3.01113	3.01113	3.01113		3.01113		37.1908	37.1908	37.1908		37.1908		0.0	10.5824	0.0	10.5824	10.5824	3.01113	37.1908	1	0	1	30678	ENSDARG00000054155	10.5824	10.5824		3.01113	3.01113		37.1908	37.1908		10.5824	3.01113	37.1908	0															0						Exp 5,1(1)	1.9148547649383545	1.9148547649383545	1.9148547649383545	1.9148547649383545	0.0	1.9148547649383545	10.5824	10.5824	3.01113	3.01113	37.1908	37.1908	UP	1.0	0.0	0.0	
R-DRE-400042	Adrenaline,noradrenaline inhibits insulin secretion	11	17	1	1	0	1	1	1	1	0	0	13	17	4862	0.9557	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-418597	G alpha (z) signalling events	12	23	1	1	1	0	0	0	1	0	0	13	23	4856	0.9405	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-174414	Processive synthesis on the C-strand of the telomere	6	10	1	1	1	1	1	1	1	1	1	12	9	4870	0.99971	0.026282	0.026282	10.0	30678	pcna	ENSDARG00000054155		10.5824	10.5824	10.5824		10.5824		3.01113	3.01113	3.01113		3.01113		37.1908	37.1908	37.1908		37.1908		0.0	10.5824	0.0	10.5824	10.5824	3.01113	37.1908	1	0	1	30678	ENSDARG00000054155	10.5824	10.5824		3.01113	3.01113		37.1908	37.1908		10.5824	3.01113	37.1908	0															0						Exp 5,1(1)	1.9148547649383545	1.9148547649383545	1.9148547649383545	1.9148547649383545	0.0	1.9148547649383545	10.5824	10.5824	3.01113	3.01113	37.1908	37.1908	UP	1.0	0.0	0.0	
R-DRE-174437	Removal of the Flap Intermediate from the C-strand	6	9	1	1	1	1	1	1	1	1	1	12	8	4871	0.99977	0.023683	0.023683	11.11	30678	pcna	ENSDARG00000054155		10.5824	10.5824	10.5824		10.5824		3.01113	3.01113	3.01113		3.01113		37.1908	37.1908	37.1908		37.1908		0.0	10.5824	0.0	10.5824	10.5824	3.01113	37.1908	1	0	1	30678	ENSDARG00000054155	10.5824	10.5824		3.01113	3.01113		37.1908	37.1908		10.5824	3.01113	37.1908	0															0						Exp 5,1(1)	1.9148547649383545	1.9148547649383545	1.9148547649383545	1.9148547649383545	0.0	1.9148547649383545	10.5824	10.5824	3.01113	3.01113	37.1908	37.1908	UP	1.0	0.0	0.0	
R-DRE-193807	Synthesis of bile acids and bile salts via 27-hydroxycholesterol	5	7	1	1	1	0	0	0	1	0	0	13	7	4872	0.98153	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5362517	Signaling by Retinoic Acid	22	32	1	1	1	0	0	0	1	0	0	13	32	4847	0.91813	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5365859	RA biosynthesis pathway	8	12	1	1	1	0	0	0	1	0	0	13	12	4867	0.96854	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-8948216	Collagen chain trimerization	7	16	1	1	1	0	0	0	1	0	0	13	16	4863	0.95826	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-159227	Transport of the SLBP independent Mature mRNA	10	17	1	1	1	0	0	0	1	0	0	13	17	4862	0.9557	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-159230	Transport of the SLBP Dependant Mature mRNA	10	17	1	1	1	0	0	0	1	0	0	13	17	4862	0.9557	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-159231	Transport of Mature mRNA Derived from an Intronless Transcript	10	17	1	1	1	0	0	0	1	0	0	13	17	4862	0.9557	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-159234	Transport of Mature mRNAs Derived from Intronless Transcripts	10	17	1	1	1	0	0	0	1	0	0	13	17	4862	0.9557	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-8939902	Regulation of RUNX2 expression and activity	29	39	4	3	3	2	2	1	4	1	1	12	38	4841	0.99543	0.098939	0.098939	2.56	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-9006115	Signaling by NTRK2 (TRKB)	3	5	1	1	0	1	1	1	1	0	0	13	5	4874	0.98678	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-4085377	SUMOylation of SUMOylation proteins	14	22	2	1	1	0	0	0	2	0	0	13	22	4857	0.94302	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-4755510	SUMOylation of immune response proteins	6	11	1	0	0	0	0	0	1	0	0	13	11	4868	0.97112	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-163560	Triglyceride catabolism	6	7	1	1	1	1	1	1	1	1	1	12	6	4873	0.99986	0.018465	0.018465	14.29	415166	fabp6	ENSDARG00000044566		445.962	445.962	445.962		445.962		258.251	258.251	258.251		258.251		770.113	770.113	770.113		770.113		0.0	445.962	0.0	445.962	445.962	258.251	770.113	1	0	1	415166	ENSDARG00000044566	445.962	445.962		258.251	258.251		770.113	770.113		445.962	258.251	770.113	0															0						Linear,1(1)	1.6338356733322144	1.6338356733322144	1.6338356733322144	1.6338356733322144	0.0	1.6338356733322144	445.962	445.962	258.251	258.251	770.113	770.113	UP	1.0	0.0	0.0	
R-DRE-8864260	Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors	8	15	1	0	0	0	0	0	1	0	0	13	15	4864	0.96082	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-3232118	SUMOylation of transcription factors	7	18	1	0	0	0	0	0	1	0	0	13	18	4861	0.95315	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-2980766	Nuclear Envelope Breakdown	11	21	1	1	1	0	0	0	1	0	0	13	21	4858	0.94554	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-3301854	Nuclear Pore Complex (NPC) Disassembly	9	17	1	1	1	0	0	0	1	0	0	13	17	4862	0.9557	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-4615885	SUMOylation of DNA replication proteins	20	29	3	2	2	1	1	1	3	1	1	12	28	4851	0.99746	0.07447	0.07447	3.45	30678	pcna	ENSDARG00000054155		10.5824	10.5824	10.5824		10.5824		3.01113	3.01113	3.01113		3.01113		37.1908	37.1908	37.1908		37.1908						10.5824	3.01113	37.1908	1	0	1	30678	ENSDARG00000054155	10.5824	10.5824		3.01113	3.01113		37.1908	37.1908		10.5824	3.01113	37.1908	0															0						Exp 5,1(1)	1.9148547649383545	1.9148547649383545	1.9148547649383545	1.9148547649383545	0.0	1.9148547649383545	10.5824	10.5824	3.01113	3.01113	37.1908	37.1908	UP	1.0	0.0	0.0	
R-DRE-1482922	Acyl chain remodelling of PI	2	9	1	0	0	0	0	0	1	0	0	13	9	4870	0.97632	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-71403	Citric acid cycle (TCA cycle)	16	16	1	1	1	0	0	0	1	0	0	13	16	4863	0.95826	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-445144	Signal transduction by L1	3	4	1	1	0	1	1	1	1	0	0	13	4	4875	0.98941	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-8963888	Chylomicron assembly	5	5	1	0	0	1	1	1	1	0	0	13	5	4874	0.98678	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-69091	Polymerase switching	5	6	1	1	1	1	1	1	1	1	1	12	5	4874	0.9999	0.015847	0.015847	16.67	30678	pcna	ENSDARG00000054155		10.5824	10.5824	10.5824		10.5824		3.01113	3.01113	3.01113		3.01113		37.1908	37.1908	37.1908		37.1908		0.0	10.5824	0.0	10.5824	10.5824	3.01113	37.1908	1	0	1	30678	ENSDARG00000054155	10.5824	10.5824		3.01113	3.01113		37.1908	37.1908		10.5824	3.01113	37.1908	0															0						Exp 5,1(1)	1.9148547649383545	1.9148547649383545	1.9148547649383545	1.9148547649383545	0.0	1.9148547649383545	10.5824	10.5824	3.01113	3.01113	37.1908	37.1908	UP	1.0	0.0	0.0	
R-DRE-69109	Leading Strand Synthesis	5	6	1	1	1	1	1	1	1	1	1	12	5	4874	0.9999	0.015847	0.015847	16.67	30678	pcna	ENSDARG00000054155		10.5824	10.5824	10.5824		10.5824		3.01113	3.01113	3.01113		3.01113		37.1908	37.1908	37.1908		37.1908		0.0	10.5824	0.0	10.5824	10.5824	3.01113	37.1908	1	0	1	30678	ENSDARG00000054155	10.5824	10.5824		3.01113	3.01113		37.1908	37.1908		10.5824	3.01113	37.1908	0															0						Exp 5,1(1)	1.9148547649383545	1.9148547649383545	1.9148547649383545	1.9148547649383545	0.0	1.9148547649383545	10.5824	10.5824	3.01113	3.01113	37.1908	37.1908	UP	1.0	0.0	0.0	
R-DRE-69186	Lagging Strand Synthesis	8	9	1	1	1	1	1	1	1	1	1	12	8	4871	0.99977	0.023683	0.023683	11.11	30678	pcna	ENSDARG00000054155		10.5824	10.5824	10.5824		10.5824		3.01113	3.01113	3.01113		3.01113		37.1908	37.1908	37.1908		37.1908		0.0	10.5824	0.0	10.5824	10.5824	3.01113	37.1908	1	0	1	30678	ENSDARG00000054155	10.5824	10.5824		3.01113	3.01113		37.1908	37.1908		10.5824	3.01113	37.1908	0															0						Exp 5,1(1)	1.9148547649383545	1.9148547649383545	1.9148547649383545	1.9148547649383545	0.0	1.9148547649383545	10.5824	10.5824	3.01113	3.01113	37.1908	37.1908	UP	1.0	0.0	0.0	
R-DRE-69190	DNA strand elongation	9	11	1	1	1	1	1	1	1	1	1	12	10	4869	0.99965	0.028875	0.028875	9.09	30678	pcna	ENSDARG00000054155		10.5824	10.5824	10.5824		10.5824		3.01113	3.01113	3.01113		3.01113		37.1908	37.1908	37.1908		37.1908		0.0	10.5824			10.5824	3.01113	37.1908	1	0	1	30678	ENSDARG00000054155	10.5824	10.5824		3.01113	3.01113		37.1908	37.1908		10.5824	3.01113	37.1908	0															0						Exp 5,1(1)	1.9148547649383545	1.9148547649383545	1.9148547649383545	1.9148547649383545	0.0	1.9148547649383545	10.5824	10.5824	3.01113	3.01113	37.1908	37.1908	UP	1.0	0.0	0.0	
R-DRE-8866904	Negative regulation of activity of TFAP2 (AP-2) family transcription factors	5	8	1	0	0	0	0	0	1	0	0	13	8	4871	0.97892	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-69166	Removal of the Flap Intermediate	7	8	1	1	1	1	1	1	1	1	1	12	7	4872	0.99982	0.021077	0.021077	12.5	30678	pcna	ENSDARG00000054155		10.5824	10.5824	10.5824		10.5824		3.01113	3.01113	3.01113		3.01113		37.1908	37.1908	37.1908		37.1908		0.0	10.5824	0.0	10.5824	10.5824	3.01113	37.1908	1	0	1	30678	ENSDARG00000054155	10.5824	10.5824		3.01113	3.01113		37.1908	37.1908		10.5824	3.01113	37.1908	0															0						Exp 5,1(1)	1.9148547649383545	1.9148547649383545	1.9148547649383545	1.9148547649383545	0.0	1.9148547649383545	10.5824	10.5824	3.01113	3.01113	37.1908	37.1908	UP	1.0	0.0	0.0	
R-DRE-69183	Processive synthesis on the lagging strand	7	8	1	1	1	1	1	1	1	1	1	12	7	4872	0.99982	0.021077	0.021077	12.5	30678	pcna	ENSDARG00000054155		10.5824	10.5824	10.5824		10.5824		3.01113	3.01113	3.01113		3.01113		37.1908	37.1908	37.1908		37.1908		0.0	10.5824	0.0	10.5824	10.5824	3.01113	37.1908	1	0	1	30678	ENSDARG00000054155	10.5824	10.5824		3.01113	3.01113		37.1908	37.1908		10.5824	3.01113	37.1908	0															0						Exp 5,1(1)	1.9148547649383545	1.9148547649383545	1.9148547649383545	1.9148547649383545	0.0	1.9148547649383545	10.5824	10.5824	3.01113	3.01113	37.1908	37.1908	UP	1.0	0.0	0.0	
R-DRE-2162123	Synthesis of Prostaglandins (PG) and Thromboxanes (TX)	5	8	1	0	0	1	1	1	1	0	0	13	8	4871	0.97892	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-8937144	Aryl hydrocarbon receptor signalling	3	4	1	0	0	1	1	1	1	0	0	13	4	4875	0.98941	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5668599	RHO GTPases Activate NADPH Oxidases	5	13	1	1	0	1	1	1	1	0	0	13	13	4866	0.96596	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-174362	Transport and synthesis of PAPS	3	6	1	1	1	0	0	0	1	0	0	13	6	4873	0.98415	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-1855183	Synthesis of IP2, IP, and Ins in the cytosol	2	5	1	1	1	0	0	0	1	0	0	13	5	4874	0.98678	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-196791	Vitamin D (calciferol) metabolism	5	6	1	0	0	0	0	0	1	0	0	13	6	4873	0.98415	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-375165	NCAM signaling for neurite out-growth	11	17	1	1	1	0	0	0	1	0	0	13	17	4862	0.9557	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-9032500	Activated NTRK2 signals through FYN	3	4	1	1	0	1	1	1	1	0	0	13	4	4875	0.98941	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-9032759	NTRK2 activates RAC1	3	4	1	1	0	1	1	1	1	0	0	13	4	4875	0.98941	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-8850843	Phosphate bond hydrolysis by NTPDase proteins	2	4	1	1	1	0	0	0	1	0	0	13	4	4875	0.98941	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-70370	Galactose catabolism	1	4	1	1	1	0	0	0	1	0	0	13	4	4875	0.98941	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-936440	Negative regulators of DDX58/IFIH1 signaling	3	8	1	0	0	1	1	0	1	0	0	13	8	4871	0.97892	1.0	1.0	0.0																														0	0	0															0															0																							
